Fuel Type Code,Station Name,City,State,ZIP,Latitude,Longitude,Open Date,Access Code
E85,City of Chicago FS#9,Chicago,IL,60621,41.776439,-87.625954,2010-03-15,private
E85,City of Chicago FS#7,Chicago,IL,60666,41.95940311,-87.83946993,2008-06-15,private
E85,City of Chicago FS#4,Chicago,IL,60609,41.826171,-87.659383,2008-10-15,private
CNG,City of Chicago FS#3,Chicago,IL,60624,41.889066,-87.732603,2008-07-15,private
CNG,City of Chicago FS#9,Chicago,IL,60621,41.776439,-87.625954,2008-07-15,private
E85,Petro Travel Plaza,Rochelle,IL,61068,41.93549,-89.032205,2008-07-15,public
E85,Shell - Gages Lake,Gages Lake,IL,60030,42.356644,-88.003008,2008-07-15,public
E85,Pacific Pride Station,DeKalb,IL,60115,41.935712,-88.723735,2018-05-15,public
CNG,Village of Homewood,Homewood,IL,60430,41.564817,-87.650402,2001-10-01,private
CNG,Village of Oak Park,Oak Park,IL,60302,41.887059,-87.780595,,private
LPG,Forest Preserve District of DuPage County,West Chicago,IL,60185,41.8421803,-88.18570236,2008-12-18,private
E85,Shell - East Dundee,East Dundee,IL,60118,42.088071,-88.244838,2007-01-01,public
E85,Midwest Petroleum - ZX,Glen Carbon,IL,62034,38.77384,-89.957272,2009-01-27,public
E85,Sullivan's Fuels,Kewanee,IL,61443,41.223621,-89.928818,2008-08-01,public
E85,Meijer Gas #247,Urbana,IL,61802,40.0843651,-88.18982745,2008-08-01,public
ELEC,City of Champaign - Hill Street Parking Deck,Champaign,IL,61820,40.119161,-88.244185,2009-01-15,public
E85,Mobil - Lisle,Lisle,IL,60532,41.78648499,-88.07452908,2008-12-23,public
E85,Effingham Fast Stop General Store,Effingham,IL,62401,39.117958,-88.537445,2009-04-03,public
E85,Fast Stop,Flora,IL,62839,38.672436,-88.4433,2009-04-14,public
LPG,Ferrellgas,Springfield,IL,62707,39.823785,-89.738005,2009-08-13,public
LPG,Fuel 24,Taylorville,IL,62568,39.561728,-89.306125,2009-08-13,public
LPG,South Central FS,Toledo,IL,62468,39.26432416,-88.24421068,2009-08-13,public
LPG,Illini FS Farmtown,Urbana,IL,61802,40.115073,-88.188064,2009-08-13,public
LPG,Effingham Fast Stop General Store,Effingham,IL,62401,39.117958,-88.537445,2009-08-13,public
E85,Green Mount MotoMart,Shiloh,IL,62269,38.570245,-89.92985786,2009-06-15,public
E85,Fuel 24 - Annawan,Annawan,IL,61234,41.401124,-89.904588,2009-06-15,public
E85,Han Dee Mart,Caseyville,IL,62232,38.640715,-90.021213,2008-02-15,public
CNG,MetroLINK Transit,Moline,IL,61265,41.512238,-90.485429,2003-08-15,private
E85,Power Mart,Elmhurst,IL,60126,41.919913,-87.958905,2017-10-15,public
E85,Thorntons #386,Champaign,IL,61821,40.116096,-88.277322,2009-12-15,public
E85,E-K Petro Mart,Sullivan,IL,61951,39.596804,-88.609743,2010-05-21,public
E85,Roc One Stop,Marion,IL,62959,37.740619,-88.923931,2010-05-15,public
CNG,MetroLINK Transit,Rock Island,IL,61201,41.50853,-90.538568,2014-04-28,private
E85,City of Chicago FS#2,Chicago,IL,60626,41.998997,-87.675032,2011-11-15,private
E85,City of Chicago FS#202,Chicago,IL,60638,41.778249,-87.750999,2011-11-10,private
E85,City of Chicago FS#205,Chicago,IL,60618,41.940786,-87.690611,2012-03-31,private
E85,City of Chicago FS#8,Chicago,IL,60643,41.704048,-87.657047,2011-10-15,private
CNG,CNG Calumet,Calumet City,IL,60409,41.622812,-87.527426,2013-08-01,public
ELEC,INTERPARK ADAMS WABASH 2,Chicago,IL,60603,41.879444,-87.626366,2010-10-15,public
ELEC,INTERPARK WILLIS TOWER 1,Chicago,IL,60606,41.879081,-87.634561,2010-10-15,public
ELEC,INTERPARK WASH FRANK NEW,Chicago,IL,60606,41.883404,-87.635081,2010-10-15,public
ELEC,INTERPARK 20 E RANDOLPH 1,Chicago,IL,60601,41.884727,-87.627014,2010-10-15,public
ELEC,INTERPARK LAKE & WELLS 2,Chicago,IL,60606,41.885223,-87.633751,2010-10-15,public
ELEC,INTERPARK 50 EAST OHIO 2,Chicago,IL,60611,41.892757,-87.626038,2011-02-15,public
E85,Raceco,University Park,IL,60484,41.456092,-87.733179,2008-10-31,public
E85,Citgo,Robbins,IL,60472,41.6478,-87.699003,2008-11-30,public
E85,Circle K,Champaign,IL,61822,40.113793,-88.3158,2019-06-15,public
E85,Mobil,Chicago,IL,60637,41.780965,-87.603119,2010-05-30,public
E85,Shell,Homewood,IL,60430,41.563316,-87.635825,2009-10-31,public
E85,Roc One Stop - Russell Oil,Johnston City,IL,62951,37.816943,-88.942531,2008-01-31,public
BD,Fermi National Accelerator Laboratory - Fuel Service Center,Batavia,IL,60510,41.84901,-88.2594,2010-10-15,private
ELEC,INTERPARK SOUTH LOOP 1,Chicago,IL,60604,41.877419,-87.630013,2010-11-15,public
E85,Thorntons #310,Volo,IL,60073,42.324636,-88.164053,2010-11-30,public
ELEC,ComEd,Chicago,IL,60618,41.94629288,-87.69982,2010-12-31,private
ELEC,ComEd,Chicago,IL,60652,41.75497055,-87.71321,2010-12-31,private
ELEC,City Hall Annex - Town of Normal,Normal,IL,61761,40.507796,-88.982897,2011-04-15,public
ELEC,College Avenue Parking Deck,Normal,IL,61761,40.511172,-88.984985,2011-04-15,public
ELEC,State of Illinois - Governor's Mansion,Springfield,IL,62703,39.79628,-89.6504,2011-03-15,private
E85,Road Ranger - Pilot,Champaign,IL,61822,40.177364,-88.240756,2011-01-15,public
E85,Road Ranger,Cherry Valley,IL,61016,42.24171467,-88.97545323,2011-01-15,public
E85,Road Ranger,South Beloit,IL,61080,42.491081,-88.999361,2011-01-15,public
E85,Qik-n-EZ #59,Springfield,IL,62711,39.756957,-89.734044,2011-01-15,public
E85,Southern FS,Marion,IL,62959,37.73862,-88.903319,2009-05-15,public
E85,Road Ranger,Springfield,IL,62703,39.746514,-89.645331,2011-04-15,public
E85,Thorntons #307,Wood Dale,IL,60191,41.992697,-87.980521,2011-05-01,public
E85,Shell - Palos Hills Mart,Palos Hills,IL,60465,41.703996,-87.798389,2011-06-15,public
E85,Hometown Express #2,Galva,IL,61434,41.164688,-90.042778,2009-08-15,public
E85,Jiffi Stop,Jacksonville,IL,62650,39.722557,-90.240195,2010-12-15,public
E85,Thorntons #309,Lakemoor,IL,60051,42.328289,-88.197644,2010-09-15,public
E85,Manlius Oil Co,Sheffield,IL,61361,41.463375,-89.688889,2006-06-15,public
ELEC,O'Hare Airport - Short Term Parking,Chicago,IL,60666,41.97850582,-87.90328,2011-02-11,public
ELEC,Rivers Casino,Des Plaines,IL,60018,41.99774,-87.864217,2011-03-01,private
E85,Speedway #7765,Darien,IL,60561,41.751649,-87.9741,2011-08-01,public
E85,Speedway #5381,Lockport,IL,60441,41.594741,-88.054419,2011-08-12,public
BD,Scott Air Force Base,Scott AFB,IL,62225,38.529476,-89.868113,2006-08-15,private
BD,Scott Air National Guard,Scott AFB,IL,62225,38.548554,-89.850902,2011-01-15,private
ELEC,ADVANCED DATA STATION 1,Naperville,IL,60563,41.787044,-88.226463,2011-10-15,public
CNG,Forest Preserve District of DuPage County,Lombard,IL,60148,41.890853,-88.039553,2009-02-15,private
ELEC,Town of Normal - Fire Department Headquarters,Normal,IL,61761,40.505132,-88.994211,2012-01-01,private
ELEC,Town of Normal - Public Works Department,Normal,IL,61761,40.496969,-89.004735,2012-01-01,public
ELEC,Beaufort Street Parking Deck,Normal,IL,61761,40.507954,-88.986429,2012-01-01,public
ELEC,Heartland Community College - Workforce Development Center,Normal,IL,61761,40.535456,-89.013791,2011-12-29,public
E85,Speedway #7450,Downers Grove,IL,60515,41.809699,-88.007693,2011-12-15,public
E85,Speedway #7613,Homer Glen,IL,60491,41.599763,-87.910865,2011-12-22,public
ELEC,Heartland Community College - Astroth Community Education Center,Normal,IL,61761,40.534785,-89.011493,2011-12-29,public
ELEC,Great Escape Restaurant,Schiller Park,IL,60176,41.955233,-87.865268,2012-02-01,public
CNG,Waste Management - Clean N' Green,Cicero,IL,60804,41.822729,-87.749999,2012-04-15,public
LNG,Clean Energy - La Salle Flying J #644,LaSalle,IL,61301,41.369105,-89.098034,,public
ELEC,City of Rock Island Parking Ramp,Rock Island,IL,61201,41.509406,-90.577025,2012-02-03,public
E85,Thorntons #16,Bloomingdale,IL,60108,41.956904,-88.071053,2011-11-29,public
E85,Meijer Gas #146,Champaign,IL,61822,40.14322,-88.258888,2009-12-15,public
ELEC,Walsh Construction,Chicago,IL,60607,41.87757111,-87.65041351,2012-03-15,private
ELEC,Mike Miller Mitsubishi,Peoria,IL,61615,40.784164,-89.623657,2012-02-15,public
CNG,DuPage County Department of Transportation,Wheaton,IL,60187,41.865556,-88.143233,2011-11-30,private
LPG,Forest Preserve District of DuPage County,Lombard,IL,60148,41.890853,-88.039553,2012-05-07,private
ELEC,ComEd,Skokie,IL,60077,42.048674,-87.756383,2010-12-31,private
ELEC,ComEd,Crestwood,IL,60445,41.647334,-87.729414,2010-12-31,private
ELEC,ComEd,Maywood,IL,60153,41.874415,-87.8337901,2010-12-31,private
ELEC,Arlington Nissan,Arlington Heights,IL,60004,42.139843,-87.996655,2012-01-31,public
ELEC,Arlington Nissan,Arlington Heights,IL,60004,42.139843,-87.996655,2012-01-31,private
ELEC,O'Brien Nissan,Bloomington,IL,61704,40.459154,-88.966191,2012-01-31,public
ELEC,O'Brien Nissan,Bloomington,IL,61704,40.459154,-88.966191,2012-01-31,private
ELEC,Hove Buick-Nissan,Bradley,IL,60915,41.154031,-87.851483,2012-01-31,private
ELEC,Monken Nissan - Centralia,Centralia,IL,62801,38.533452,-89.172979,2012-01-31,public
ELEC,Berman Nissan - Chicago,Chicago,IL,60641,41.953751,-87.739697,2012-01-31,public
ELEC,Berman Nissan - Chicago,Chicago,IL,60641,41.953751,-87.739697,2012-01-31,private
ELEC,Continental Nissan,Countryside,IL,60525,41.78586,-87.8685,2012-01-31,public
ELEC,Continental Nissan,Countryside,IL,60525,41.78586,-87.8685,2012-01-31,private
ELEC,Jim M'Lady Nissan,Crystal Lake,IL,60014,42.226647,-88.306745,2012-01-31,public
ELEC,Jim M'Lady Nissan,Crystal Lake,IL,60014,42.226647,-88.306745,2012-01-31,private
ELEC,Crown Nissan - Decatur,Decatur,IL,62526,39.876094,-88.959111,2012-01-31,public
ELEC,Crown Nissan - Decatur,Decatur,IL,62526,39.876094,-88.959111,2012-01-31,private
ELEC,Ken Nelson Auto Plaza,Dixon,IL,61021,41.856583,-89.489398,2012-01-31,public
ELEC,Bill Kay's Nissan - Downers Grove,Downers Grove,IL,60515,41.807887,-88.024848,2012-01-31,public
ELEC,Bill Kay's Nissan - Downers Grove,Downers Grove,IL,60515,41.807887,-88.024848,2012-01-31,private
ELEC,McGrath Nissan,Elgin,IL,60120,42.033769,-88.255193,2012-01-31,public
ELEC,McGrath Nissan,Elgin,IL,60120,42.033769,-88.255193,2012-01-31,private
ELEC,The Autobarn Nissan,Evanston,IL,60202,42.03616,-87.680149,2012-01-31,public
ELEC,The Autobarn Nissan,Evanston,IL,60202,42.03616,-87.680149,2012-01-31,private
ELEC,Galesburg Nissan,Galesburg,IL,61401,40.973058,-90.383695,2012-01-31,public
ELEC,KANE COUNTY KANE COURTHOUSE,Geneva,IL,60134,41.886523,-88.309239,2012-04-01,public
ELEC,Glendale Nissan,Glendale Heights,IL,60139,41.904021,-88.068043,2012-01-31,public
ELEC,Glendale Nissan,Glendale Heights,IL,60139,41.904021,-88.068043,2012-01-31,private
ELEC,Gerald Nissan - North Aurora,North Aurora,IL,60542,41.798401,-88.37177,2012-01-31,public
ELEC,Gerald Nissan - North Aurora,North Aurora,IL,60542,41.798401,-88.37177,2012-01-31,private
ELEC,Auffenberg Nissan,O'Fallon,IL,62269,38.596106,-89.956489,2012-01-31,public
ELEC,Auffenberg Nissan,O'Fallon,IL,62269,38.596106,-89.956489,2012-01-31,private
ELEC,Nissan of St Charles,St. Charles,IL,60174,41.920486,-88.284011,2012-01-31,public
ELEC,Nissan of St Charles,St. Charles,IL,60174,41.920486,-88.284011,2012-01-31,private
CNG,Groot Industries - Round Lake Park,Round Lake Park,IL,60073,42.345841,-88.081547,2012-06-01,private
CNG,Groot Industries - Elk Grove Village,Elk Grove Village,IL,60007,42.013872,-87.9444,2012-06-01,private
ELEC,Illinois Institute of Technology,Chicago,IL,60616,41.83545303,-87.62598419,2012-03-16,public
ELEC,Advocate BroMenn Medical Center,Normal,IL,61761,40.49813,-88.991628,2012-05-26,public
ELEC,Martin Nissan,Skokie,IL,60077,42.055712,-87.757895,2012-01-31,public
ELEC,Martin Nissan,Skokie,IL,60077,42.055712,-87.757895,2012-01-31,private
ELEC,Nissan of South Holland,South Holland,IL,60473,41.598505,-87.5824,2012-01-31,public
ELEC,Nissan of South Holland,South Holland,IL,60473,41.598505,-87.5824,2012-01-31,private
ELEC,Green Nissan,Springfield,IL,62711,39.757002,-89.740821,2012-01-31,public
ELEC,Green Nissan,Springfield,IL,62711,39.757002,-89.740821,2012-01-31,private
ELEC,Woodfield Nissan,Hoffman Estates,IL,60169,42.050116,-88.097379,2012-01-31,public
ELEC,Woodfield Nissan,Hoffman Estates,IL,60169,42.050116,-88.097379,2012-01-31,private
ELEC,Thomas Nissan - Joilet,Joliet,IL,60435,41.548858,-88.12682,2012-01-31,public
ELEC,Thomas Nissan - Joilet,Joliet,IL,60435,41.548858,-88.12682,2012-01-31,private
ELEC,Liberty Nissan,Libertyville,IL,60048,42.271355,-87.949478,2012-01-31,public
ELEC,Liberty Nissan,Libertyville,IL,60048,42.271355,-87.949478,2012-01-31,private
ELEC,Anderson Nissan,Rockford,IL,61108,42.267854,-88.98865,2012-01-31,public
ELEC,Nissan of Marian,Marion,IL,62959,37.74626,-88.985731,2012-01-31,private
ELEC,Hawkinson Nissan,Matteson,IL,60443,41.505031,-87.748285,2012-01-31,public
ELEC,Hawkinson Nissan,Matteson,IL,60443,41.505031,-87.748285,2012-01-31,private
ELEC,KC Summers Nissan,Mattoon,IL,61938,39.459697,-88.376824,2012-01-31,public
ELEC,KC Summers Nissan,Mattoon,IL,61938,39.459697,-88.376824,2012-01-31,private
ELEC,Al Piemonte Nissan,Melrose Park,IL,60160,41.907344,-87.854085,2012-01-31,public
ELEC,Al Piemonte Nissan,Melrose Park,IL,60160,41.907344,-87.854085,2012-01-31,private
ELEC,Courtesy Car City,Moline,IL,61265,41.473755,-90.504579,2012-01-31,public
ELEC,Courtesy Car City,Moline,IL,61265,41.473755,-90.504579,2012-01-31,private
ELEC,Gerald Nissan,Naperville,IL,60540,41.766972,-88.187306,2012-01-31,public
ELEC,Gerald Nissan,Naperville,IL,60540,41.766972,-88.187306,2012-01-31,private
ELEC,Star Nissan,Niles,IL,60714,42.01155,-87.771151,2012-01-31,public
ELEC,Star Nissan,Niles,IL,60714,42.01155,-87.771151,2012-01-31,private
ELEC,Kelly Nissan,Oak Lawn,IL,60453,41.720728,-87.728594,2012-01-31,public
ELEC,Kelly Nissan,Oak Lawn,IL,60453,41.720728,-87.728594,2012-01-31,private
ELEC,Orland Park Nissan,Orland Park,IL,60462,41.602458,-87.827796,2012-01-31,public
ELEC,Orland Park Nissan,Orland Park,IL,60462,41.602458,-87.827796,2012-01-31,private
ELEC,Uftring Nissan,Peoria,IL,61614,40.777601,-89.630469,2012-01-31,public
ELEC,JP Motors,Peru,IL,61354,41.352942,-89.124734,2012-01-31,public
ELEC,JP Motors,Peru,IL,61354,41.352942,-89.124734,2012-01-31,private
ELEC,Autocenters Nissan,Wood River,IL,62095,38.857818,-90.067243,2012-01-31,public
BD,Village of Downers Grove,Downers Grove,IL,60515,41.793467,-88.051732,2001-01-01,private
BD,Argonne National Laboratory,Lemont,IL,60439,41.71298,-87.960781,2012-05-15,private
ELEC,FRANKLIN PARK METRA LOT 1,Franklin Park,IL,60131,41.936737,-87.866028,2012-05-31,public
BD,Sapp Bros Travel Center,Peru,IL,61354,41.366352,-89.151102,2005-04-15,public
ELEC,"WELCOME2 DWIGHT DWIGHT, IL",Dwight,IL,60420,41.096165,-88.438698,2012-05-31,public
E85,Lenny's Gas N Wash,Mokena,IL,60448,41.543967,-87.831893,2012-02-16,public
CNG,Clean Energy - Peoria Disposal,West Peoria,IL,61604,40.70153,-89.642572,2012-03-01,public
E85,Road Ranger #207,Belvidere,IL,61008,42.273625,-88.863324,2011-12-15,public
E85,BP - Harvey's Corner,Country Club Hills,IL,60478,41.556425,-87.73397,2011-01-15,public
E85,Thorntons #122,Elk Grove Village,IL,60007,41.993051,-87.940545,2011-01-15,public
E85,Thorntons #139,North Aurora,IL,60542,41.78946,-88.322353,2011-08-15,public
E85,BP,Schiller Park,IL,60176,41.95369429,-87.88553448,2010-01-15,public
ELEC,EARTH FRIENDLY STATION #1,Addison,IL,60101,41.925053,-88.030975,2012-07-31,public
ELEC,Vision Care Associates,Swansea,IL,62226,38.571138,-89.96433,2012-09-12,private
E85,Thorntons #19,Park Ridge,IL,60068,42.01102,-87.839857,2016-12-15,public
E85,Waterloo Fast Stop,Waterloo,IL,62298,38.331781,-90.159011,2004-01-15,public
ELEC,Lang's Auto Service,Downers Grove,IL,60515,41.796821,-88.010142,2012-11-08,public
ELEC,Prairie Trail School,Wadsworth,IL,60083,42.432421,-87.896197,2012-11-27,public
E85,Thorntons #40,Villa Park,IL,60181,41.861016,-87.971098,2012-06-15,public
E85,Roc One Stop #13,West Frankfort,IL,62896,37.89797,-88.942535,2012-06-06,public
CNG,Trillium,Rockford,IL,61102,42.22456,-89.109935,2012-12-01,public
ELEC,City of Alton - City Hall,Alton,IL,62002,38.890647,-90.183944,2010-06-01,public
